orgao,grau,degree_centrality,valor_total,num_convenentes
Ministério das Cidades - Unidades com vínculo direto,5671,0.15841224615212715,119727453085.15,5671
Ministério da Saúde - Unidades com vínculo direto,9105,0.25433671331601443,103577222524.71,9105
Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto,5485,0.15321657029525965,59887416510.39,5485
Fundo Nacional de Assistência Social,4048,0.11307578423978323,54429948794.89,4048
Fundo Nacional de Desenvolvimento da Educação,7930,0.22151456744601805,36495321800.23,7930
Departamento Nacional de Infraestrutura de Transportes,307,0.008575658537947988,29279628731.95,307
Fundo Nacional de Desenvolvimento Científico e Tecnológico,2082,0.05815804910751697,28969616946.92,2082
Fundação Nacional de Saúde,5626,0.1571552277996592,26586470082.48,5626
Ministério da Agricultura e Pecuária - Unidades com vínculo direto,7181,0.20059219531271824,23389912388.31,7181
Ministério do Turismo - Unidades com vínculo direto,6083,0.16992094751250034,20798807418.49,6083
Ministério do Esporte - Unidades com vínculo direto,7102,0.19838542976060783,19596840829.76,7102
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vín",3683,0.10287996871420989,14427948558.93,3683
Fundo Nacional de Habitação de Interesse Social,3363,0.0939411715411045,12841612893.68,3363
Ministério da Defesa - Unidades com vínculo direto,479,0.013380262018492137,7424429823.2699995,479
Fundo de Amparo ao Trabalhador,583,0.01628537109975139,6728945361.33,583
Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,6071,0.1695857426185089,6371267207.389999,6071
Instituto Nacional de Colonização e Reforma Agrária,2426,0.06776725606860527,6265943710.28,2426
Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba,1242,0.03469370652811531,5940649552.28,1242
Fundo Nacional de Segurança Pública,530,0.014804882817955809,5042049146.72,530
Ministério da Justiça e Segurança Pública - Unidades com vínculo direto,751,0.020978239615631722,4850853960.76,751
Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto,1415,0.03952624374982541,4657104190.98,1415
Fundo Penitenciário Nacional,216,0.006033688091846141,4327365238.16,216
Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto,4244,0.11855079750831028,3411058627.92,4244
Ministério da Educação - Unidades com vínculo direto,548,0.015307690158942988,3381115286.24,548
Ministério da Cultura - Unidades com vínculo direto,3275,0.09148300231850051,3307139804.95,3275
"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",2075,0.05796251291935529,2711839243.05,2075
Ministério do Trabalho e Emprego - Unidades com vínculo direto,958,0.026760524036984274,2589103190.05,958
Superintendência de Desenvolvimento do Centro-Oeste,472,0.013184725830330457,2347896793.4,472
Ministério do Meio Ambiente e Mudança do Clima - Unidades com vínculo direto,1972,0.05508533757926199,2158453774.08,1972
Ministério dos Direitos Humanos e Cidadania - Unidades com vínculo direto,932,0.02603424676666946,2083665765.27,932
Conselho Nacional de Desenvolvimento Científico e Tecnológico,5112,0.14279728484035867,1842658341.89,5112
Superintendência do Desenvolvimento do Nordeste,591,0.016508841029079024,1711911873.16,591
Fundo Nacional de Cultura,3237,0.09042152015419425,1630048098.49,3237
Presidência da República,1366,0.038157490432693654,1486783511.8,1366
Departamento Nacional de Obras Contra as Secas,559,0.015614961311768484,1420035318.86,559
Superintendência do Desenvolvimento da Amazônia,600,0.016760244699572612,1384929132.45,600
Ministério das Mulheres - Unidades com vínculo direto,1213,0.033883628034302636,1365832910.49,1213
Universidade Federal do Rio Grande do Sul,4,0.00011173496466381743,1348701141.4099996,4
Superintendência da Zona Franca de Manaus,255,0.007123103997318361,1298495038.36,255
Financiadora de Estudos e Projetos,482,0.01346406324199,1182148781.95,482
Instituto do Patrimônio Histórico e Artístico Nacional,497,0.013883069359479316,1173990625.27,497
Empresa Brasileira de Pesquisa Agropecuária,162,0.0045252660688846055,751590696.68,162
Ministério da Pesca e Aquicultura - Unidades com vínculo direto,603,0.016844045923070476,745096591.84,603
Instituto Brasileiro de Turismo,690,0.019274281404508507,594944450.97,690
Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,117,0.0032682477164166597,546013636.65,117
Fundo Nacional para a Criança e o Adolescente,377,0.010531020419564793,397409025.06,377
Fundo Nacional do Meio Ambiente,750,0.020950305874465766,311209614.25,750
Fundação Nacional de Artes,534,0.014916617782619625,230451221.88,534
Agência Nacional do Cinema,315,0.008799128467275623,210413331.03,315
Ministério da Igualdade Racial - Unidades com vínculo direto,535,0.014944551523785581,191889720.1,535
